x1,x2,x3,x4,omega1,h
4.1586,3.10566e-08,1.20984e-08,13.069,7,432.621
5.80994e-08,10.8046,2.04814e-07,7.39459,3,225
3.72684,1.03682,1.89588,7.52328,7,385.124
1.69882e-08,8.79177,1.7647,5.03706,3,202.059
1.88132e-08,3.07836,4.49216,4.42948,5,261.179
5.56509,2.16659e-08,2.57396,3.86095,5,262.2
3.24047e-08,4.04532e-08,2.26223,13.9674,5,332.969
2.10998e-08,9.69337,0.315076,7.85086,5,310.904
2.14356,9.18934,1.56251e-08,5.70651,7,394.949
7.92959,9.60993e-08,1.44475,2.93135,3,188.442
6.32342,8.1094,5.08379e-09,1.08993e-08,3,200.838
1.98259e-08,12.348,6.13804e-08,5.59395,7,405
4.78858e-08,10.3857,7.50171e-08,7.88334,3,225
1.48476,3.72024e-08,3.59021,7.9515,5,280.604
1.21313,4.4231,3.87244,2.49133,3,175.556
2.76963,4.70395,4.23166e-09,9.89601,3,211.678
7.03392e-08,1.39096,1.80536,13.5629,3,220.352
6.97772,7.17469,1.13413e-08,5.33481e-08,7,370.111
2.54672e-08,1.54146,4.64585,5.81268,3,174.975
4.6852,2.00553,2.5549e-08,9.85155,7,404.667
5.28489,9.59302,7.1913e-09,7.77718e-08,7,378.576
0.560378,1.59115e-08,3.79829,8.93726,3,189.94
2.68569e-08,5.5338,4.24662,2.21958,3,176.276
1.80466e-08,15.1227,1.33465e-08,2.35684,5,315
9.99046,1.04489,1.63364e-08,2.1302,5,280.005
2.22675e-08,11.6544,2.41587e-07,6.40316,5,315
1.86725,14.4754,4.72013e-08,2.40839e-07,5,305.664
8.45075,1.53219e-07,1.4197,2.12955,7,352.808
8.38671,3.62371,0.118882,1.47747,7,364.532
3.01467e-08,11.994,1.3246,2.47472,5,297.78
5.25736,9.59437,1.37401e-08,0.044305,7,378.713
3.44093,4.37918,1.8409e-08,9.15608,7,402.875
6.34188,2.4864,3.83672e-07,6.5294,7,382.321
1.11985,2.83463,1.47522e-08,14.8265,5,339.856
7.82684,1.08018e-07,1.66926,2.5039,5,267.402
9.96921,1.35386,0.676928,4.86949e-08,5,274.585
2.48475,5.11047,2.23083,3.94767,5,273.749
9.23643e-09,5.4877,4.25123,2.26107,7,353.3
7.40413,1.03079e-06,1.83835,2.75752,3,185.293
4.50384,10.7088,7.75522e-09,2.37597e-08,3,205.488
1.0088e-07,12.7235,6.37251e-08,5.15587,7,405
2.28387,3.83833e-08,2.41485,9.75395,5,295.2
9.99286e-09,1.92401e-08,3.27653,11.2626,5,309.64
7.83383,4.7609e-08,0.173096,6.48203,5,281.605
1.54441,1.03554e-08,4.13894,6.38881,3,176.383
4.06433e-08,5.738,8.65663e-08,13.3057,7,437.62
4.7859,1.45365,0.634568,8.63539,7,394.08
0.352122,0.858354,4.57332,6.21621,5,269.084
5.86982,3.803,2.64185e-08,5.78013,5,287.718
2.01243,4.05951,1.8145e-08,11.9099,3,216.866
3.31666,9.92009e-08,2.34712e-07,14.4722,3,227.15
1.57627,8.91839,3.52702e-08,6.96809,7,398.624
0.367039,6.81675,0.106736,11.1508,7,420.034
8.9088e-09,2.59342,4.54066,4.86592,5,263.167
0.413484,3.80747e-08,2.08386,13.7539,5,330.869
2.82971,9.34475,1.44196e-08,4.38162,3,210.851
7.83025e-08,4.39987,0.0157411,14.8248,7,450.639
4.86183,1.52716,0.51204,8.74983,3,199.881
2.18707,8.64172,6.92169e-09,6.27287,5,304.065
3.74587,5.86027,1.48638,2.95623,5,277.412
1.34104e-07,4.67243,0.171599,14.0912,7,444.329
1.13073e-07,6.86082,2.46369e-08,11.9957,3,226.139
4.88806,4.26669,9.20688e-09,6.87543,7,387.631
6.5911,7.05998,1.16041e-08,0.778187,3,200.704
9.58425e-08,6.43589,2.48282e-08,12.4915,5,326.385
7.07698,0.120426,1.43028e-08,8.06454,7,388.585
5.86046,4.09303,2.04651,6.42577e-07,3,183.674
6.8972,9.63091e-08,5.45309e-09,8.50467,7,391.542
1.71782,7.26405,0.968486,6.07962,5,293.87
8.36803,5.18853,6.85848e-09,1.43793e-08,5,280.816
4.90982,4.71515e-08,0.291929,11.0385,5,305.849
3.81108,9.31708,1.79248e-08,2.77827,5,295.945
6.88674e-08,9.42998,3.26086,0.302712,5,272.609
3.7529,4.31439,1.51678,4.66697,5,277.473
1.55261e-08,4.10374,9.96674e-09,15.2123,7,453.963
9.97348,0.935116,0.717097,0.374309,5,274.263
4.88479,5.83283e-07,8.5328e-08,11.8587,5,311.728
9.38108e-09,10.4859,5.77083e-09,7.76642,5,315
10.1548,2.63599,4.54659e-09,1.89988e-08,5,280
8.81697,4.50951,0.0164824,1.06452e-08,3,199.868
8.6937,2.12743,8.54988e-09,3.0285,7,366.098
6.71018,6.61049e-08,2.4607e-08,8.81637,5,294.608
5.02111,8.52814,0.173427,1.21952,7,377.64
3.92598,11.5343,2.24736e-08,4.79236e-08,3,207.222
2.07672e-08,2.1977e-07,3.78839,9.89764,3,195.12
3.65727,7.37177,1.91916,0.186379,5,272.917
1.48617,2.62038e-08,1.17493,14.3899,7,445.684
10.4848,2.16462,3.99163e-08,2.92723e-08,7,360.758
5.72222e-08,2.58886,0.628399,15.3039,3,235.527
2.13894e-08,3.19448e-08,2.93236,12.1804,3,207.556
4.53549,1.95945e-07,3.91523e-07,12.4409,7,426.968
2.80397,4.77802,4.82535e-08,9.75236,7,407.488
4.60702e-08,6.04324,5.84642e-08,12.9496,5,328.741
1.63685e-08,2.44547,0.903166,14.7385,7,449.772
1.73298e-08,8.4755,2.61349,3.14261,7,371.936
3.10424,7.01674,2.49003,9.07945e-08,7,357.108
10.47,1.67497,2.02867e-08,0.595813,5,280
6.07232,8.46812,5.7313e-08,2.86515e-07,7,374.638
0.629528,4.73149,1.52707e-08,13.4307,3,227.686
1.51745e-08,8.8263e-08,1.4891,16.0291,5,350.751
3.88412,4.23127,2.62688,1.58499,3,179.73
1.70403,8.70618,2.62603,1.90874e-08,5,272.342
1.28146e-08,7.84517,2.88437,3.15565,5,277.503
4.73072,10.3333,0.0224795,2.37504e-08,3,204.561
1.57066e-08,2.81849,4.51815,4.66336,7,364.244
5.5618,3.99574e-08,1.38844e-08,10.7303,3,206.944
2.76962,0.882489,2.47016,7.7673,7,387.817
4.21148e-08,3.97581,1.62603,11.0255,3,208.251
0.0714133,7.4001,0.31065,10.4191,5,313.911
9.23285e-08,14.6322,3.89762e-08,2.92913,7,405
3.05128,11.5353,6.98212e-08,1.4567,3,209.846
3.66106,1.15171e-07,4.05231e-08,13.8982,5,330.084
4.16453,7.84224,1.50776e-08,3.90984,5,294.177
3.82706,11.6756,6.81949e-09,1.57964e-07,7,385.865
3.57244,9.18533,7.6577e-09,3.3297,7,387.138
8.68988,2.49248e-08,7.20593e-09,5.51687,5,281.965
2.54413,2.42584e-08,2.02697,10.3545,7,410.218
2.48688e-08,7.53707,1.53791e-08,11.2067,7,421.778
5.08096e-07,6.369,1.4585e-07,12.5695,3,226.631
9.57821,2.36583e-08,0.968716,1.45307,5,272.25
7.43745,6.51794,6.1584e-09,1.84038e-08,5,282.688
0.807839,8.59189,2.02603,3.22699,7,375.197
0.280451,10.0729,4.23796e-07,7.78088,7,405.244
1.70101,6.03661,7.2222e-09,10.1223,5,310.069
6.497e-08,10.2567,2.41729e-08,8.03379,5,315
3.01785,3.9023,1.48821e-08,10.4176,7,410.709
7.25597,3.96368,1.33395e-08,3.28243,3,200.372
1.46766e-07,9.04888,1.13485e-08,9.44298,5,315.951
12,3.9715e-08,3.02631e-08,2.68671e-07,3,200
5.0131e-09,8,4,5.30441e-08,7,353
1.35946e-08,8.28999,1.17538,7.19401,5,300.255
7.31502e-08,4.13488,2.71347,7.94006,5,288.635
1.25087e-08,2.92413,1.5051,12.5749,5,321.141
8.49925,3.56086,4.61566e-08,1.68025,5,280.75
9.21492,0.448785,7.87653e-09,4.11822,5,280.729
5.95579,1.89688e-08,1.97891,4.7966,5,267.756
7.16581,0.766793,0.00605693,7.14624,3,200.427
6.01881,8.14287,1.23307e-08,0.468629,5,286.944
9.15335,8.6972e-08,2.18395e-08,4.74442,7,370.62
3.3871,5.74193,2.87097,4.2347e-08,3,177.903
0.734763,5.79773,3.13439,3.65301,3,182.748
6.10669,3.66198e-08,0.229908,9.2091,3,200.656
1.77515e-07,1.94597,2.45765,11.176,7,419.014
1.9521,2.04858,3.8143,4.18502,5,260.296
1.16697,7.18755,8.82667e-09,9.66957,3,219.165
4.34235,10.9395,1.33352e-08,1.37619e-08,5,293.288
1.67511e-08,4.26061,2.85098,7.42668,5,285.268
3.39641,11.0971,2.50258e-08,1.39273,3,208.811
7.73671,3.3009,7.39527e-09,3.25443,7,368.752
6.96152,7.19783,2.69538e-08,5.29322e-08,3,200.519
0.723911,3.82738,3.45808e-07,14.3282,3,232.073
10.822,1.11417e-07,3.89916e-08,1.96332,7,361.767
2.54022,3.07585,3.47633,2.9076,7,354.552
0.851772,9.40788,7.74986e-08,7.60452,5,310.741
1.43855,8.23592,2.48699e-08,7.99384,7,401.76
3.32189,2.53275,2.61878,4.52522,5,267.754
5.98642,3.81816,5.01111e-09,5.56811,5,287.236
8.486,1.94408,8.3219e-09,3.58858,5,280.757
6.19609,4.15807e-08,0.101797,9.40173,3,201.739
4.17357,5.53711,2.46903,2.98025e-07,5,265.32
2.0482e-07,1.27829,0.137178,18.1429,7,479.062
6.44692,1.34401e-07,2.03018e-08,9.25513,3,202.33
4.03859e-08,8.77742,5.24873e-08,9.75968,3,225
5.15086,6.75012,7.36852e-09,3.54009,3,203.547
5.67049e-08,8.01273,3.83632e-08,10.6518,3,225
10.1874,2.94724e-08,1.03588e-08,3.02098,7,362.719
4.98184,8.21295,1.67745e-08,2.11515,7,380.091
3.59039,8.29397,1.62739,1.1069e-06,5,276.328
1.83553e-08,2.53106e-08,1.99586,14.6777,7,449.095
7.14036e-08,7.67015,3.96118e-08,11.0515,3,225.33
6.77222,7.46825,1.53912e-08,7.7805e-08,5,284.683
1.94842e-07,3.30579,1.87655e-07,16.1432,7,461.942
5.70061,7.10995,2.58595e-08,2.20404,3,201.898
9.88227,1.29055,1.2654e-08,2.02391,7,362.18
5.47966,0.704493,1.26015,6.68491,3,191.105
4.73661,10.0435,1.57043e-08,0.388272,7,381.317
5.83382,3.10467,4.12813e-08,6.65485,7,384.2
3.16622,12.6197,7.93867e-08,1.99271e-08,5,299.169
3.07705e-08,12.5486,1.27469,1.96086,5,298.429
4.53648,10.47,8.24229e-08,0.224232,3,205.391
1.05404,6.17424,1.10365e-08,11.04,7,418.36
9.79977e-09,6.61848,2.64117e-08,12.2784,3,226.382
11.0896,1.30061,4.98351e-08,4.49191e-08,7,360.455
10.0075,0.726133,0.0694376,2.28858,7,361.603
7.65719,9.24985e-09,2.41851e-08,7.23801,5,286.085
3.05739e-08,11.9457,8.14703e-09,6.06332,5,315
6.87278e-08,10.3032,2.99234,6.62054e-08,5,276.1
1.20369,8.86083,3.7669e-08,7.65622,3,218.982
0.242584,14.319,3.09667e-08,2.89014,7,403.787
5.72903,3.4819e-07,3.24376e-08,10.4516,5,303.439
1.39371e-08,7.91512,1.74899e-08,10.7657,7,419.509
3.05961,0.00197759,2.77416,7.5006,7,385.281
3.69127,11.8696,6.13384e-09,2.10434e-08,5,296.544
1.99981,6.62403,6.547e-09,8.93894,3,215.001
8.29704e-09,6.60787,9.75669e-09,12.2908,5,325.353
6.63337,4.11638e-08,2.14665,3.21998,5,264.657
3.58655e-08,5.77174,4.22283,2.00544,5,260.109
6.4741,7.89414,2.07494e-08,5.47486e-08,5,285.578
5.85349,8.78073,9.66242e-09,2.82396e-08,3,201.44
8.36757,5.18919,3.09321e-08,2.08294e-08,5,280.816
9.95886e-09,2.30222,4.56978,5.128,7,366.873
5.73942e-08,11.1794,4.22382e-08,6.95736,5,315
2.53838e-08,5.87059,1.13871,10.1144,5,308.141
7.72536,3.27723,1.23786,2.45224e-08,5,270.615
2.87819e-08,2.42,1.49784,13.1824,5,326.35
0.513322,3.93353,2.43113,8.07234,5,289.561
4.28168,4.73534,0.000178907,7.33883,3,206.153
2.38388e-08,10.5884,1.53994,3.54033,5,294.981
1.26955e-08,11.8024,0.57631,4.69368,5,307.508
5.18938,2.85176,2.43907,1.51979,5,262.602
2.0636e-08,8.03641e-08,4.02218,9.27418,5,292.49
6.35622e-08,1.79691,2.0119,12.5385,7,430.757
4.7923,5.80378,1.25834e-08,5.24176,5,291.038
2.64671,3.70282e-08,2.41496,9.14891,5,290.125
3.36221,7.26123,9.21388e-09,5.92488,5,298.189
1.18362e-08,7.21853,9.13871e-09,11.5784,7,423.689
3.07802,4.6747,1.47139,5.49245,5,281.258
7.63537,5.79166,1.38304e-06,0.517447,7,368.094
8.1882e-07,7.14381,0.0689841,11.4816,5,320.826
7.73721,3.32913,1.20775,3.49944e-08,7,354.503
1.11014e-07,1.99157e-08,2.14411,14.2824,5,335.685
1.72584,8.27826,5.8086e-09,7.46563,5,306.371
5.34719,0.711979,8.89795e-09,10.2574,5,302.603
6.08755,8.44635,2.47465e-08,1.21264e-08,3,200.956
5.23368e-08,7.92335,1.62092e-08,10.7561,7,419.46
1.04533e-08,11.6939,2.38394,1.84574e-08,7,374.009
7.05047,3.93071e-08,5.04783e-08,8.24921,5,291.546
1.53129,8.23495,2.98478e-08,7.84041,5,307.577
3.81856e-07,13.0931,1.77175,5.8081e-08,5,291.967
1.034,10.4284,1.24579e-08,6.11015,3,219.83
8.23462,1.47268e-08,9.48257e-09,6.27563,3,200
0.324428,7.78372,3.89186,1.49477e-08,7,352.784
3.92688e-08,9.49153,5.21476e-09,8.92655,7,410.051
0.807698,4.2502e-08,3.58001,9.10715,3,190.727
2.20717e-07,14.6533,1.0892,2.81035e-07,3,210.84
6.93999,1.15026e-07,2.024,3.036,3,183.808
1.17641,0.363672,4.29307,6.16685,3,175.386
3.21635e-08,9.98083,1.37232e-08,8.3557,5,315.019
4.756,1.90409,8.98263e-09,9.8519,3,206.072
7.22548,1.70295e-08,0.131299,7.6074,3,199.914
8.45629,4.11346,0.274406,0.375396,7,362.613
5.25076e-08,3.35664,4.46434,4.17903,7,362.038
10.314,0.464104,0.627986,0.593902,5,274.976
3.83491,11.532,6.62357e-08,0.154463,3,207.495
3.1953,3.24916,3.19696,2.35858,3,175.858
3.81516,2.50381,0.503948,9.37643,3,203.188
3.23971e-08,8.14429,1.29977e-08,10.4983,5,316.856
2.28077,4.38601,3.08534e-08,11.0817,5,313.595
3.92007,7.79557,7.52397e-09,4.37172,5,295.4
4.14093e-08,1.78734,4.62127,5.5914,5,266.472
2.40191,0.915369,4.62158e-08,14.9289,5,339.818
1.4145e-08,11.8379,2.14038e-08,6.18911,5,315
2.32152,4.65056,1.02626,7.96846,5,292.061
1.74519e-08,5.2947,4.27053,2.43477,7,354.092
5.14668,9.76001,1.29216e-07,0.0355304,7,379.267
6.68977,0.653076,2.05878,2.59837,5,264.754
7.0436,0.984824,0.652028,5.37296,5,278.016
11.2155,3.43383e-08,2.38387e-08,1.30742,5,280
3.37114e-08,11.3209,1.42658,2.98811,5,296.454
3.47605,3.15847,1.77156,5.79753,3,189.085
3.42886,11.6051,1.02495e-08,0.745926,5,297.856
12,1.68685e-07,3.16248e-08,4.9315e-07,7,360
5.60424,8.4059,5.85117e-09,0.852721,7,376.979
5.43929,2.50948,1.059,2.99223,3,192.279
4.38434,1.99731e-08,2.43397e-08,12.6928,7,429.235
2.5797,13.4576,5.25506e-08,3.98575e-08,5,302.102
2.74056,1.79126,7.20922e-08,13.3426,3,222.106
3.83324,1.52036,3.24301e-08,11.8375,7,422.298
2.49563,3.2733,1.93839e-08,12.0218,5,317.908
2.46698e-08,8.5034e-06,4.8,7.19999,7,384.6
0.0329987,10.6325,1.67339e-07,7.54043,7,406.17
2.51583,5.45739e-08,3.79367,5.6905,3,174.726
5.36249e-08,4.90463,0.967627,11.6976,5,317.187
2.17108e-07,2.23859e-07,4.18851,8.83063,3,189.598
4.89736e-08,3.28419e-08,2.26041,13.9722,5,333.011
1.64327,13.992,1.6936e-08,0.937233,7,396.784
7.8286,2.77566e-08,5.96823e-08,6.95233,5,284.543
3.83817,3.48908,0.831664,7.31468,7,388.044
