x1,x2,x3,x4,omega1,omega2,omega3,omega4,omega5,omega6,omega7,omega8,omega9,omega10,omega11,omega12,h
13.552,9.19229,54.8095,2.79606,0,6,8,16,18,6,10,6,16,12,10,6,3951.28
32.3609,49.8844,27.7693,38.7516,4,12,4,10,2,8,2,12,14,12,0,4,322.146
44.943,17.412,23.235,29.8499,18,14,18,6,10,18,18,10,12,0,8,10,3274.78
28.4112,26.3474,20.7009,40.3797,8,6,18,0,6,14,18,8,0,0,16,8,547.751
9.13143,51.9783,59.2793,6.60894,0,10,6,8,14,8,10,4,10,16,6,6,612.336
10.3314,59.7275,39.8703,20.7905,4,0,10,16,12,0,16,18,18,14,4,16,717.584
5.97024,21.7608,34.5169,45.3253,14,4,10,10,6,0,10,2,6,18,2,8,454.523
15.5252,51.5147,7.9388,47.4057,6,12,2,8,18,10,18,14,12,12,0,14,1088.29
55.6653,46.7356,25.9374,29.6593,2,8,14,10,0,10,12,0,4,8,2,18,328.146
14.8344,22.3295,52.2146,10.4402,0,0,12,18,0,14,8,10,8,0,4,6,349.183
10.1971,22.023,0.0812601,45.7393,8,0,0,18,4,6,2,12,18,2,10,8,1399.47
0.616057,34.0696,27.4859,15.8845,6,0,8,12,18,4,12,2,18,16,16,4,4254.73
32.4931,50.8733,26.9636,57.6669,10,8,16,0,6,18,10,12,0,18,0,6,443.726
38.3742,15.4207,35.9189,29.1166,8,16,0,16,16,0,2,6,0,12,12,14,453.311
27.0237,46.5087,52.3522,43.8949,0,2,14,8,18,4,16,18,2,10,2,14,421.192
57.5644,44.4803,41.1986,25.5301,14,8,16,16,16,10,8,10,8,14,14,4,568.913
25.286,1.141,36.79,28.932,8,16,0,2,16,12,8,4,16,4,14,12,2523.83
33.4168,36.5591,49.3203,25.7049,6,2,10,8,8,8,14,6,16,0,0,8,332.151
14.482,38.166,56.6021,11.6253,6,8,14,0,8,8,8,10,0,0,6,6,345.094
24.3942,12.9342,4.64917,18.6379,8,0,12,10,16,16,14,16,0,14,0,2,5216.22
29.9665,6.22506,44.6544,26.378,14,12,4,18,10,16,10,14,12,4,4,8,2404.85
32.366,16.0617,8.76984,34.739,18,14,2,14,16,0,18,16,2,10,2,0,2482.56
47.9299,57.241,9.04107,33.2585,18,12,0,18,2,14,16,10,8,18,2,14,627.208
17.7339,33.0041,59.1064,41.0623,4,18,14,8,0,8,8,14,12,14,12,12,581.343
43.1832,19.6017,46.3645,27.9174,4,14,0,10,6,16,2,4,12,18,12,6,462.275
46.7111,34.1528,46.3054,55.2198,2,2,4,16,16,4,14,16,12,14,14,4,437.201
16.0632,33.9484,30.2188,46.8055,18,18,18,16,12,16,8,18,0,12,8,16,4023.98
56.921,30.5706,19.4013,37.5948,0,10,4,12,16,0,16,8,10,12,10,6,406.318
50.8054,27.1304,41.0479,12.6852,18,18,8,8,10,0,2,14,4,2,14,14,501.086
26.2934,12.507,24.507,48.7998,6,8,10,16,18,2,10,18,0,6,12,6,746.704
47.7891,32.1097,27.3721,23.0975,12,8,0,4,4,6,6,10,2,6,4,16,292.13
9.80391,14.3681,44.77,48.7112,18,0,2,2,2,4,16,10,14,16,4,18,535.767
11.6869,40.9315,35.1334,26.8495,16,16,2,8,18,14,14,4,6,10,10,16,2529.07
9.34937,54.9295,39.866,8.06728,18,2,12,10,16,8,4,8,8,8,14,6,953.68
59.1534,51.9711,57.9444,11.5565,14,2,6,18,10,6,2,18,6,14,2,10,435.265
16.4263,17.5321,2.7782,13.1923,2,16,6,4,16,18,0,10,4,4,18,14,6732.37
12.6261,46.4043,36.5221,26.8314,6,18,14,0,4,10,6,10,12,8,8,10,572.655
47.7346,16.1,52.6027,53.004,18,10,4,4,14,0,14,10,2,16,14,10,423.762
45.8137,10.5776,57.8165,21.16,6,16,8,12,16,16,16,10,18,4,14,14,2191.71
20.3129,59.3716,59.1509,8.39808,4,12,14,18,16,12,10,2,10,6,6,4,510.474
55.3485,2.26285,51.788,40.1823,8,16,10,16,18,18,4,6,18,0,0,2,763.379
17.9317,58.683,5.52805,29.8602,14,12,0,18,8,6,0,16,0,0,16,8,523.893
11.7756,32.0971,56.1846,14.2684,6,12,14,8,2,18,12,0,18,2,10,14,869.671
35.6977,31.3811,22.6751,40.0846,16,0,0,10,10,0,10,8,8,2,0,12,247.099
3.36484,32.8088,17.3071,59.6652,6,10,0,14,10,16,16,18,10,6,2,18,2025.55
54.9527,9.30129,26.8519,39.056,4,14,18,4,12,16,4,4,14,18,0,18,649.086
25.1773,35.1835,28.5295,35.2913,4,8,16,14,10,4,4,8,12,16,18,18,1363.45
39.4241,21.0221,37.9664,1.36059,12,2,12,12,6,14,14,16,6,14,4,4,2163.23
44.6038,15.3881,27.8015,39.5853,2,8,12,6,4,6,2,10,14,16,12,8,448.352
37.4518,52.3786,6.58319,3.73311,10,0,16,8,6,16,10,6,4,8,18,10,1835.27
31.2973,53.4304,44.5233,42.552,14,2,8,14,16,2,6,12,16,0,10,0,381.172
57.2942,2.80336,16.0806,27.0606,10,0,16,14,8,18,10,6,2,8,18,8,2230.27
20.6307,0.234723,44.9977,36.7651,2,2,8,14,2,14,16,10,4,12,4,10,592.182
31.5841,13.7955,20.324,5.15478,10,18,14,16,12,8,2,14,0,0,2,2,3126.91
1.97585,28.1663,51.5079,13.457,18,0,8,2,8,6,10,6,8,2,4,18,752.586
25.7509,14.9064,31.2176,34.0919,10,6,16,14,6,14,12,10,10,6,6,18,2749.01
36.3726,34.8223,18.0644,8.55916,14,4,4,12,2,8,18,2,18,16,18,14,3805.23
59.9564,47.0311,11.5583,40.5004,10,6,4,18,16,6,12,6,14,18,16,12,602.964
5.22144,36.6595,55.9161,2.66396,16,14,8,4,14,18,10,2,0,10,10,18,3172.42
7.71883,10.3201,49.8247,43.8407,4,16,4,14,6,8,18,6,10,4,8,16,959.931
10.9101,6.22306,10.9539,22.0315,10,18,16,14,6,18,2,4,16,4,16,16,9583.43
45.4963,16.4352,46.099,6.19523,6,16,0,14,10,18,16,14,6,12,4,18,2513.52
48.2274,17.2381,41.2013,10.1132,6,10,6,4,0,2,0,8,6,2,2,8,228.109
46.005,46.4143,24.5353,44.8213,16,10,2,2,6,2,2,0,8,14,2,2,211.083
59.6619,17.3764,25.6973,14.4323,4,6,12,6,0,2,4,2,10,6,6,4,275.644
11.0679,17.9704,48.4542,49.4051,14,10,0,0,12,10,8,18,6,18,8,16,631.19
49.1545,0.430903,42.1792,5.16181,4,12,8,6,0,4,6,14,6,16,2,14,608.286
34.3814,47.4499,30.2591,4.18528,18,18,10,12,8,0,14,8,4,8,12,18,1979.4
46.2763,46.4068,19.6466,21.0901,6,4,8,16,18,12,0,6,0,10,18,2,418.153
29.8976,48.9173,33.0928,51.2417,12,2,8,12,2,4,12,18,8,18,6,10,375.086
59.241,23.728,35.804,18.2248,12,6,12,0,2,8,8,10,10,10,8,6,397.568
8.67122,57.2032,34.7013,25.069,0,8,14,14,14,16,12,12,14,10,4,6,565.763
6.67489,44.8139,7.68791,30.7528,4,14,16,4,8,4,0,8,0,18,16,10,1699.19
43.3587,28.9684,31.3032,33.1382,6,4,18,16,6,6,2,4,18,18,14,18,624.236
42.1935,5.85037,47.1632,12.5335,10,12,0,2,0,16,16,18,12,10,6,14,1322.41
6.34281,43.6145,8.41234,26.1249,16,4,18,2,0,18,10,18,2,14,16,0,3907
47.548,59.7288,2.708,33.3178,0,0,8,18,12,16,0,18,18,6,6,18,718.496
9.15976,48.113,15.2656,8.9406,16,4,2,8,4,18,8,0,12,4,6,16,2276.91
48.1214,35.8824,16.2724,10.7553,8,8,2,18,4,8,8,6,4,6,14,8,412.446
51.0381,37.5251,24.5288,55.5975,14,16,8,14,2,6,0,6,2,2,2,18,345.156
35.436,13.2131,13.3631,14.1661,14,0,10,14,10,12,14,2,16,10,2,6,3840.29
39.2747,29.6986,4.07609,46.9199,2,14,12,12,12,14,14,4,14,0,2,4,723.304
13.6944,2.10125,35.6576,17.5908,0,8,14,18,10,18,4,18,2,8,2,14,5195.06
33.4051,18.7603,4.81616,5.26701,8,14,2,14,12,14,10,8,4,10,8,8,5403.1
20.2097,4.74549,17.4167,42.1858,6,12,2,16,0,4,6,12,16,6,14,2,1540.09
3.70195,58.6932,55.9577,41.4576,18,6,2,0,12,18,4,0,6,4,8,0,491.365
30.5173,23.6052,13.363,12.5888,18,12,14,4,10,8,14,10,16,12,4,6,5264.78
31.6115,55.0407,48.2991,23.4731,6,14,0,2,2,14,8,8,0,16,8,0,280.406
55.742,16.0411,22.2647,42.8145,2,10,4,10,12,10,18,14,2,10,12,8,629.027
24.2922,39.0992,20.9415,3.30031,0,4,12,14,16,16,6,12,16,0,18,18,5036.91
38.6655,51.2631,39.5177,34.3345,8,18,8,2,12,8,0,8,12,6,6,6,414.203
49.7759,3.10876,48.9334,3.15892,12,6,6,10,16,0,18,6,16,16,8,6,2208.1
25.3353,50.5738,34.2394,1.83025,16,6,4,14,16,8,2,6,2,6,6,4,430.791
7.92834,51.6331,17.3983,32.6443,12,0,14,4,8,18,8,2,18,10,8,16,1514.78
38.7013,52.2194,30.6411,5.05304,4,12,16,18,0,16,16,0,16,8,18,2,733.035
11.1973,33.4065,42.4756,7.99104,8,16,6,14,4,16,0,0,4,14,12,16,2218.3
4.98644,47.1416,8.18613,4.30658,8,10,18,4,14,14,14,2,12,18,12,14,8132.51
0.279702,20.9578,38.5055,1.97787,6,12,12,4,2,8,16,14,10,4,10,14,5498.15
47.644,52.3641,3.89234,18.4762,0,14,16,14,10,4,12,10,0,10,4,2,539.019
19.1408,38.8492,18.2357,6.57043,8,4,0,12,0,4,6,16,2,14,10,6,583.252
