x1,x2,x3,x4,omega1,omega2,omega3,h
3.37329,4.62995,1.03304e-08,8.97624,1.4,3.4,1.48,148.54
1.25161e-08,9.84691,1.33871,4.94205,1.08,1.76,0.68,83.1221
0.473249,10.275,8.19534e-09,7.22376,0.12,2.76,1.92,86.9003
7.92959,9.60993e-08,1.44475,2.93135,0.8,1.92,1.08,72.9052
1.68427,2.00618,3.92567,4.38387,0.48,3.84,3.4,105.74
1.28191e-08,4.08387e-08,4.8,7.2,3.84,2.56,2.28,206.652
2.52004e-08,12.8514,1.47017,1.08625,2.6,2,2.08,161.248
5.0271e-08,3.99914e-08,4.10985,9.0404,1.52,1.56,3.32,94.4833
7.03392e-08,1.39096,1.80536,13.5629,0.8,3.36,0.08,114.7
5.11845,1.9265,2.55997,2.39508,2.84,2.64,2.32,165.821
7.41228,4.3647,2.50274e-08,2.55405,0.88,2.68,1.6,105.92
10.9864,1.44795,1.33555e-08,2.90337e-07,2.76,3.32,3.16,202.72
9.04408,3.60339e-08,9.96884e-09,4.92654,2.12,0.28,3.96,107.36
1.80466e-08,15.1227,1.33465e-08,2.35684,3.08,0.84,1.72,169.02
1.80431,3.91748,3.65414,2.67806,1.92,3.16,1,133.267
4.00261,3.50949,2.84801,1.6399,3.68,3.04,2.44,208.291
2.38022e-08,7.37374,1.65635e-08,11.3973,0.44,3.16,2.76,117.54
0.0245071,3.6323,1.06364e-08,15.7215,2.6,1.36,1.52,163.777
5.25736,9.59437,1.37401e-08,0.044305,3.12,1.56,2.88,174.911
1.03525e-08,5.07799,0.991102,11.4327,3.76,1.44,1.4,202.027
5.03597,4.47622,1.10868,3.42797,1.96,3.24,2.56,158.338
6.2496e-08,10.4105,3.90473e-08,7.85442,3.64,2.48,2.96,244.08
1.80247,6.97205,1.52031,4.80767,3.4,1.24,2.4,168.504
9.23643e-09,5.4877,4.25123,2.26107,0.48,0.8,3,40.3574
6.20663,4.9299e-08,1.49967e-08,9.65562,0.76,2.72,0.32,96.96
9.01003,7.44464e-08,1.19599,1.79398,3.76,0.16,0.24,145.632
8.62631e-09,13.0012,0.872116,2.50635,1.56,2.36,2.6,134.282
7.11095,6.25959,0.317086,7.9835e-08,0.12,0.4,3.88,28.014
1.54441,1.03554e-08,4.13894,6.38881,2.84,2.32,0.88,144.38
9.8252e-08,10.4672,0.510558,6.42678,3.72,0.08,2.04,172.103
3.52581,1.35806e-07,1.28769e-08,14.1236,1.32,2.48,2.6,129.088
4.95983,1.7143,2.64464,2.68124,0.8,2.56,2.24,87.1457
12,3.97173e-08,2.25486e-08,1.14318e-07,2.32,2.16,1.92,152.32
1.57627,8.91839,3.52702e-08,6.96809,1.16,3.36,3.64,152.251
4.95292,10.0673,1.39555e-08,4.6278e-08,3.32,1.76,2.56,186.941
0.214061,5.20353,8.02357e-09,13.5724,1.6,3.72,1.84,181.392
5.90805,0.0680604,2.35907e-08,10.0739,3.92,0.52,1.8,176.91
8.06592,6.09599e-07,1.23862,3.25381,0.12,1.2,0.76,30.3106
2.18707,8.64172,6.92169e-09,6.27287,3.12,2.88,2.28,217.485
4.04674,3.72747,2.80856,1.41724,1.36,1.88,1.96,89.5269
6.62935e-09,5.11077,4.28892,2.6003,1.56,1.52,3.36,92.6524
7.12532,2.55373,1.6945,0.626451,3.84,3.96,3.96,252.781
2.97999e-08,7.10486,0.200606,11.1761,2.4,2.16,1,168.212
7.07698,0.120426,1.43028e-08,8.06454,2.4,3.92,3.16,206.204
3.59515,2.10102e-08,0.926352,11.5378,0.96,2.28,1.32,91.0469
5.91769,2.93158,5.71701e-06,6.71698,1.32,0.56,2.96,78.08
6.16152,0.845767,4.78782e-09,8.74408,1.96,2.44,3.68,153.712
4.15351,2.83424,1.45311e-07,9.77088,1.36,0.08,0.68,59.04
6.88674e-08,9.42998,3.26086,0.302712,1.48,1.44,1.48,81.2249
6.76009,3.49327,1.74664,4.1207e-08,1.28,2.72,2.24,112.96
3.16761,8.49821,1.73323e-08,4.80607,1.88,0.44,3.96,103.156
7.65573e-08,9.2628,1.86943,4.20826,0.2,1.76,3.64,57.2785
2.60476,5.64794,2.37241,2.74304,0.48,3.36,0.76,89.9564
8.81697,4.50951,0.0164824,1.06452e-08,0.6,0.52,1.12,40.8281
6.37621e-06,5.22145,6.04399e-07,13.9083,3.68,3.76,1.84,290.551
4.44492,5.16707,4.33053e-08,6.56355,0.76,1.52,3,79.2975
12,6.12835e-08,6.21361e-09,3.92482e-07,1.24,0.64,2.72,75.84
5.7391,4.92468,7.70289e-09,4.68938,0.68,0.76,2.64,56
1.48617,2.62038e-08,1.17493,14.3899,1.28,0.36,3.48,68.0489
4.0634,1.44527,3.03011,3.46122,3.52,2.64,0.8,183.119
2.30404,1.01197e-07,3.81945e-08,16.1599,1.44,2.24,3.84,144.864
5.48618e-08,3.14754,1.2177,13.0807,3.52,3.64,2.16,269.498
7.56691,1.39637,7.90272e-09,5.75938,2.32,2.16,1.88,152.16
1.63685e-08,2.44547,0.903166,14.7385,1.52,3.28,3.84,175.047
8.11666,2.3871,0.290432,2.9128,3.36,1,2.92,167.757
2.2803,11.5872,1.48446e-08,2.68111,2.08,2.08,0.36,140.379
8.74391,3.63216,9.83773e-09,1.1893,0.72,3,2.48,110.72
10.2992,2.42978,1.16981e-08,9.24764e-08,1.8,2.12,0.64,125.44
3.88412,4.23127,2.62688,1.58499,2.24,3.92,0.56,166.248
9.63991,0.0244245,0.941595,1.39407,1.28,1.48,2.56,89.4272
8.158e-08,4.8588,4.19488,3.14505,2.16,1.96,1.12,111.695
1.10827,15.4288,1.44461e-07,0.152575,0,3.88,0.4,103.235
6.99559,7.14916,8.26648e-09,2.36076e-08,3.92,0.44,0.16,168
4.21148e-08,3.97581,1.62603,11.0255,1,1.72,0.96,77.877
5.96795,8.61722,5.50387e-08,8.84595e-08,2.68,2.2,3,172.956
4.75351e-08,6.82826,1.36313,8.39868,3.96,1.04,1.48,195.219
1.13835e-08,2.79718e-07,4.8,7.2,1.68,2.56,1.84,111.744
6.8372e-08,9.9356,6.78842e-09,8.40847,3.72,3.56,1.16,268.74
3.57244,9.18533,7.6577e-09,3.3297,0.2,0.72,3.88,41.4138
1.38869e-08,5.44411,3.08474,5.42256,1.48,3.84,0.76,141.943
8.16742,0.112652,1.52177,2.19816,0.32,3.08,3.08,90.7115
2.24303,6.91637,0.487634,6.89215,3.96,1.04,1.96,197.546
1.29123e-08,3.00052,3.04672,8.37479,3.64,0.68,3.24,158.645
0.807839,8.59189,2.02603,3.22699,1.56,0.64,3.6,78.9261
1.31605,6.66537,0.423959,8.89976,3.2,0.92,2.6,168.448
2.02203e-08,3.53397,2.70382,8.66686,2.64,0.08,3.24,100.722
3.06362,2.64523,3.31003,2.98113,3.16,3,1.8,180.393
1.32786e-07,0.753434,1.70899,14.5637,2.64,1.6,1.08,157.099
12,3.9715e-08,3.02631e-08,2.68671e-07,3.08,3.6,0.08,209.92
12,8.80712e-08,6.08876e-08,1.17019e-07,3.16,0.04,2.4,136.96
0.851652,3.29655,0.0349689,14.6414,2.2,1.52,1.92,145.424
3.98367e-08,2.80515,3.61873,7.07737,2.76,2.32,0.04,144.442
3.45285e-08,4.20125,4.37988,3.41888,2.2,1.04,0.44,91.776
5.95579,1.89688e-08,1.97891,4.7966,0.76,1.64,2.56,68.0692
3.95312e-08,3.7738,2.55178e-08,15.5972,0.36,1.96,0.52,71.46
2.67983,10.2964,1.43565e-08,3.5211,3.56,1.36,1.72,191.261
4.14998,10.5001,2.20695e-08,0.833221,2.2,0.56,2,109.745
0.311727,2.16604,4.4587,5.06352,0.68,1.52,1.48,55.68
1.77515e-07,1.94597,2.45765,11.176,3.56,3.16,3.84,248.589
5.28881,3.31266e-06,1.28846e-08,11.1853,2.04,1.92,1.4,133.387
0.0876097,6.20721,3.45054,3.4108,3.8,2.24,3.96,204.26
2.72683,13.2474,3.26504e-07,1.17234e-07,0.16,2.16,0.52,60.3766
1.84456e-08,11.3047,0.829819,4.59837,2.24,3.32,1.16,184.872
6.96152,7.19783,2.69538e-08,5.29322e-08,1.32,2.08,0.32,104
1.78516e-08,8.37425,0.323747,9.36671,0.8,0.64,1.12,54.1113
3.94032,2.43947,2.61006e-08,10.5867,0.36,0.64,0.96,33.6
3.29134,7.57681,1.32651e-08,5.67483,1.32,2.36,3.12,124.646
7.82103,2.65031,1.74723e-07,3.87292,2.72,3.36,2.48,199.729
5.98642,3.81816,5.01111e-09,5.56811,3.2,1.88,2.76,185.087
1.09481,6.40815,8.30967e-09,10.6991,1.88,3.56,1.68,182.806
0.611913,5.98689,1.0928e-08,11.9954,0.36,2.24,2.68,86.1843
1.84644e-08,1.33326,4.66667,6.00007,1.08,3.12,0,94.464
4.70227,1.21512e-07,2.06168e-08,12.1629,3.12,1,1.12,154.087
5.15086,6.75012,7.36852e-09,3.54009,3.68,3.56,1,243.407
0.947575,8.1465,6.15171e-08,8.91646,0.8,2,3.56,101.577
4.79582,7.96912,6.11773e-08,2.70965,0.56,1.04,1.56,53.6
1.96675,7.57854,1.25007e-08,7.88045,1.64,2.52,2.56,144.18
6.65291,1.12592e-08,6.86833e-09,8.91182,0.72,0.44,3.12,51.84
6.77222,7.46825,1.53912e-08,7.7805e-08,2.52,3.76,1.72,198.534
2.00319e-08,7.74497,1.12333e-08,10.9642,3.28,0.16,0.88,155.88
3.60727,11.9896,8.03219e-09,3.04735e-08,3.28,3.44,2.04,232.278
7.82115e-08,1.38428,1.58354,14.1622,1.6,0.4,1.44,69.1662
0.0642101,10.558,1.26314,4.20694,3.56,3.84,3.24,261.718
3.16622,12.6197,7.93867e-08,1.99271e-08,1.64,2.36,2.4,135.541
7.30217,2.18846,1.70414e-08,5.27651,2.48,0.52,3.56,125.92
6.03481,6.34607,0.95184,1.4568e-08,2.72,1,0.56,127.425
2.6324,7.29875,3.06152e-06,7.09746,3.48,0.8,0.84,168.818
6.58277e-09,11.2533,2.5767,1.34193e-07,2.96,0.76,0.84,124.003
7.65719,9.24985e-09,2.41851e-08,7.23801,1.68,1.08,2.68,103.84
3.55849e-08,6.7581,4.12419,1.11771,1.8,0.4,2.88,75.7386
1.08942e-07,3.03873,4.49612,4.46515,2.56,1.72,0.08,115.2
8.71149,3.13535e-08,1.6724e-08,5.48085,2.16,3.04,0.28,160.48
3.09028,5.94428,1.66259e-08,7.91454,3.32,1.32,1.44,176.069
3.05961,0.00197759,2.77416,7.5006,2.8,3.56,3.48,199.111
2.00699,0.927281,0.435644,14.4115,1.4,2.88,3.88,153.947
4.37798,2.00796e-08,2.83154,5.15259,3.28,1.6,3.44,162.373
2.14392e-08,10.6308,1.46813e-08,7.59734,3.88,1.4,2.88,225.36
9.15903e-09,4.3492,1.78316,10.1708,0.6,1.12,3.6,56.8219
5.85349,8.78073,9.66242e-09,2.82396e-08,2.24,0.84,0.12,110.24
1.51145,2.24988,3.97043,4.26823,1.2,2.28,1.44,87.5437
6.37917e-08,0.646713,4.62058,6.92396,1.08,3.08,1.48,100.13
1.97782,5.46956,0.580563,8.77432,2.76,1.36,0.6,146.184
2.63413,6.13553,4.20156e-08,8.45167,3.2,1.8,2.92,192.569
0.513322,3.93353,2.43113,8.07234,3.2,3.72,2.24,222.841
3.60634,6.77731,2.28097,1.67419e-07,0.44,2.04,1.76,61.2434
2.07902,4.131e-08,2.69611,9.34534,2.88,2.08,1.36,152.695
1.53445e-08,8.90881,5.52608e-09,9.60639,2,1.6,1.84,141.48
4.95424,9.4618,8.76291e-09,0.704162,0.68,1,3.76,66.4829
4.7923,5.80378,1.25834e-08,5.24176,2.6,3.32,1.68,194.623
5.67294,7.41847,2.11151e-08,1.89022,2.56,2.04,0.8,154.56
11.0453,3.37023e-08,0.381876,0.572814,2,0.48,1.64,95.025
1.15483,7.79383,2.1933e-08,8.98248,2.92,2.52,2.16,203.386
2.05955,8.69419,1.78885e-08,6.42419,3.88,2.8,3.76,256.822
7.73721,3.32913,1.20775,3.49944e-08,1.2,2.72,2.8,114.843
1.76265,11.2822,1.94239e-08,3.89968,1.76,0.92,0.08,95.5921
2.16163,12.9315,0.491435,3.2172e-08,2.68,0.72,2.36,133.463
1.82284,5.69384,1.34574e-08,10.3191,3.36,0.52,3.68,172.729
3.01338,6.14621,1.00186e-08,7.80712,1.08,2.92,0.36,117.86
7.05047,3.93071e-08,5.04783e-08,8.24921,2.4,0.04,2.16,105.6
5.96671,8.61898,2.54652e-07,2.51626e-08,1.28,2.6,3.24,127.137
2.58167e-08,7.01542,4.09846,0.886121,3,1.24,0,120.912
2.20594e-08,3.03944,1.58814,12.2189,2.44,0.96,3.48,132.987
1.19129e-08,8.68875,1.30076e-08,9.86312,1.52,2.56,3.16,151.74
0.807698,4.2502e-08,3.58001,9.10715,1.32,3.44,1,122.803
1.79899,2.37578e-07,1.68748,12.5017,0.12,0.28,3.16,20.9363
0.242284,2.68201,1.14479e-08,16.4672,0.76,2.6,1.36,113.283
9.91202,4.17941e-08,0.835192,1.25279,0.88,2.64,0.88,95.3985
9.31746,1.78836,0.894178,5.68104e-08,2.6,1.52,0.72,136.207
8.45629,4.11346,0.274406,0.375396,1.12,1.92,3.72,103.565
0.901957,0.779227,1.66168,13.1565,3.44,0,0.76,133.84
1.40813e-08,6.41449,3.06417,4.34531,0.88,2.16,0.76,73.0206
2.64741,13.1449,0.00209611,0.246323,1.08,0.52,1.4,61.4385
3.20179,1.93469,1.41476e-08,12.4065,1.44,0.96,1.16,85.4591
2.28077,4.38601,3.08534e-08,11.0817,1.12,3.64,1.28,145.358
3.02644,9.37301,1.45964,0.12837,2.04,3.16,3.2,162.305
3.04119,6.37928,7.79285e-08,7.48887,0.2,2.76,0.76,77.6194
7.44605,2.01461,2.02896e-08,5.23954,3.92,2.44,0,215.36
0.956143,13.0352,2.90169e-08,3.19868,0.76,1.12,0.68,63.1116
5.14668,9.76001,1.29216e-07,0.0355304,3.48,0.76,3,170.487
6.52351,6.13355e-08,3.96955e-08,9.12748,2.28,2.4,0.32,150.08
1.40548,11.8586,1.86348e-08,3.82244,1.28,2.6,2,130.024
5.32076,9.54177,6.09683e-09,1.58055e-08,1.04,1.6,1.8,87.2
2.57914,1.46098,1.59759e-06,13.9969,2.72,2.04,3.6,188.704
12,1.68685e-07,3.16248e-08,4.9315e-07,1.36,1.52,3.84,106.24
5.74416,5.72055,2.40229e-07,3.75242,3.12,3.16,3.12,216.288
3.79715,7.06961,7.83461e-09,5.42353,0.36,0.08,0.48,18.24
9.18406,4.02277,7.98573e-09,1.28871e-07,3.72,2.32,2.32,213.76
4.14895,11.2158,5.73704e-09,1.73897e-08,1.48,1,0.92,86.88
2.49563,3.2733,1.93839e-08,12.0218,0.16,2.56,2.28,78.7731
6.99592,3.33605,1.66803,2.70158e-08,3.48,0.28,0.68,135.296
0.303085,6.45843,2.43747e-07,11.96,2.36,0.48,1.72,125.385
2.14246,6.57169,3.28585,5.56865e-07,1.68,2.68,1,114.372
7.44155,6.51207,1.27171e-08,3.21809e-08,0.92,0.6,2.52,61.28
1.64327,13.992,1.6936e-08,0.937233,1.36,3.12,3.64,154.17
2.1708,5.16054,0.93402,7.87065,1.6,3.2,0.56,140.933
4.36635,3.89397,2.66406,1.07562,2.04,3.28,2.6,151.849
3.34215,4.66596,8.40944e-09,8.98613,0.48,2.2,2.28,81.9289
1.12043,0.0042074,1.14549,15.0731,0.44,1.52,0.2,47.9737
1.70115,1.55619,3.96392,4.77873,1.36,1.12,3.36,77.3643
0.150487,2.37161e-08,3.50226,10.4098,1.16,1.12,0.44,60.032
2.24831,11.6942,1.71918e-07,2.60953,3.6,2.72,1.2,229.598
0.82713,2.6205,3.79269,4.75968,2.76,0.44,0.32,97.792
1.93632,5.76831,1.46873e-08,10.0431,3.36,3.4,1.16,238.754
0.386748,0.54507,4.59079,6.47739,2.72,0.16,3.04,101.772
6.00023,4.72828,4.81364e-09,4.48329,2.84,0.72,0.24,131.84
3.06162,4.0561,3.16974,1.71254,3.72,3.72,3.52,232.861
8.21347,1.89916e-08,1.6613e-08,6.31089,3.84,0.64,2.84,180.32
0.408633,6.71378,3.96517,0.912419,3.72,0.28,3.08,138.256
1.03123e-07,5.96247,3.60861e-07,13.0438,1.96,1.36,1.52,131.76
3.69998,3.92145,2.10265e-08,9.25835,3.08,0,3.44,138.37
2.60133e-08,10.2673,1.72718e-08,8.02148,2.12,2.48,1.52,169.2
